0.195,0.0011009,0.00032629,-0.00022168,0.0015679,0.0010237,0.0014258,0.016302,0.0047833,-0.0035327,0.023636,0.015505,0.021638,0.15435,0.044273,-0.038649,0.23249,0.15398,0.21579
0.2,0.0011843,0.00035076,-0.00023983,0.001689,0.0011031,0.0015367,0.017081,0.0050066,-0.0037289,0.024811,0.016284,0.022729,0.15732,0.045039,-0.039818,0.23768,0.15753,0.22084
0.205,0.0012717,0.00037636,-0.00025898,0.0018161,0.0011865,0.0016531,0.017875,0.0052337,-0.0039309,0.026012,0.01708,0.023846,0.16024,0.045788,-0.040994,0.24283,0.16105,0.22586
0.21,0.0013631,0.0004031,-0.00027915,0.0019492,0.001274,0.0017752,0.018683,0.0054645,-0.0041388,0.027239,0.017894,0.024988,0.16311,0.046519,-0.042178,0.24794,0.16455,0.23086
0.215,0.0014586,0.00043101,-0.00030038,0.0020885,0.0013655,0.001903,0.019506,0.0056989,-0.0043527,0.028492,0.018726,0.026155,0.16594,0.047233,-0.04337,0.25301,0.16803,0.23583
0.22,0.0015582,0.0004601,-0.00032269,0.0022342,0.0014612,0.0020368,0.020343,0.0059368,-0.0045726,0.029769,0.019575,0.027346,0.16872,0.04793,-0.044568,0.25804,0.17149,0.24078
0.225,0.001662,0.00049038,-0.00034611,0.0023863,0.0015613,0.0021765,0.021193,0.0061781,-0.0047984,0.031072,0.020441,0.028562,0.17145,0.048609,-0.045775,0.26304,0.17493,0.2457
0.23,0.0017701,0.00052188,-0.00037068,0.0025449,0.0016657,0.0023225,0.022057,0.0064228,-0.0050303,0.0324,0.021324,0.029803,0.17414,0.049271,-0.046988,0.268,0.17835,0.2506
0.235,0.0018826,0.00055462,-0.00039643,0.0027103,0.0017745,0.0024746,0.022934,0.0066708,-0.0052683,0.033752,0.022224,0.031068,0.17678,0.049916,-0.048208,0.27292,0.18175,0.25547
0.24,0.0019995,0.0005886,-0.00042338,0.0028825,0.001888,0.0026332,0.023825,0.006922,-0.0055124,0.035129,0.023142,0.032358,0.17938,0.050543,-0.049436,0.2778,0.18512,0.26032
0.245,0.0021209,0.00062384,-0.00045156,0.0030616,0.002006,0.0027982,0.024728,0.0071762,-0.0057627,0.03653,0.024076,0.033671,0.18193,0.051154,-0.05067,0.28265,0.18848,0.26515
0.25,0.0022468,0.00066037,-0.00048101,0.0032478,0.0021287,0.0029699,0.025644,0.0074335,-0.0060191,0.037955,0.025026,0.035009,0.18443,0.051748,-0.051911,0.28746,0.19181,0.26995
0.255,0.0023773,0.00069818,-0.00051176,0.0034412,0.0022563,0.0031484,0.026572,0.0076937,-0.0062818,0.039404,0.025994,0.036371,0.18689,0.052325,-0.053159,0.29223,0.19512,0.27472
0.26,0.0025125,0.00073731,-0.00054384,0.0036419,0.0023887,0.0033337,0.027513,0.0079567,-0.0065507,0.040877,0.026977,0.037756,0.18931,0.052885,-0.054413,0.29696,0.19841,0.27947
0.265,0.0026525,0.00077775,-0.00057728,0.00385,0.0025261,0.003526,0.028465,0.0082225,-0.0068259,0.042374,0.027978,0.039165,0.19168,0.053428,-0.055674,0.30166,0.20168,0.28419
0.27,0.0027972,0.00081954,-0.00061211,0.0040657,0.0026685,0.0037254,0.02943,0.008491,-0.0071075,0.043894,0.028994,0.040598,0.194,0.053955,-0.056941,0.30632,0.20493,0.28889
